,time,Open,High,Low,Close,Volume,spread,real_volume
0,1751587200,2.24762,2.24954,2.24577,2.247,7095,4,0
1,1751601600,2.24693,2.24786,2.24693,2.24759,374,4,0
2,1751616000,2.25305,2.2546,2.25097,2.25245,7802,79,0
3,1751630400,2.25244,2.25277,2.24954,2.25055,15598,79,0
4,1751644800,2.25055,2.2547,2.25022,2.25346,13048,79,0
5,1751659200,2.25347,2.25501,2.24777,2.24824,32433,80,0
6,1751846400,2.25198,2.2591,2.247,2.25874,9596,79,0
7,1751860800,2.25873,2.26538,2.25676,2.2653,19403,79,0
8,1751875200,2.26531,2.26624,2.2631,2.26599,21843,79,0
9,1751889600,2.26597,2.27136,2.26504,2.27032,18509,80,0
10,1751904000,2.27026,2.27074,2.26562,2.2676,22515,79,0
11,1751918400,2.26772,2.26881,2.26567,2.2683,16623,79,0
12,1751932800,2.2682700000000002,2.26869,2.26161,2.26731,10200,79,0
13,1751947200,2.26742,2.26784,2.25997,2.26524,16877,79,0
14,1751961600,2.26525,2.26692,2.26029,2.26093,21860,79,0
15,1751976000,2.26093,2.26181,2.25579,2.25843,18537,79,0
16,1751990400,2.25842,2.26616,2.25712,2.2645,26321,79,0
17,1752004800,2.26449,2.26679,2.26229,2.2647399999999998,16008,80,0
18,1752019200,2.26223,2.2674,2.26174,2.26713,9730,80,0
19,1752033600,2.26709,2.26945,2.25893,2.26322,16901,79,0
20,1752048000,2.26322,2.26803,2.2618,2.26646,20444,79,0
21,1752062400,2.26645,2.27201,2.26454,2.26932,18196,79,0
22,1752076800,2.26933,2.27022,2.26384,2.26629,21496,80,0
23,1752091200,2.26624,2.26713,2.26155,2.26368,13298,80,0
24,1752105600,2.26267,2.26676,2.2599,2.26559,9893,79,0
25,1752120000,2.26557,2.26622,2.26351,2.26445,12649,79,0
26,1752134400,2.26449,2.26536,2.26091,2.26224,14818,79,0
27,1752148800,2.26224,2.26268,2.25434,2.2568,14463,79,0
28,1752163200,2.25684,2.25941,2.25106,2.25223,22377,79,0
29,1752177600,2.25223,2.25304,2.24709,2.24908,10992,79,0
30,1752192000,2.24879,2.25461,2.24692,2.25232,13025,79,0
31,1752206400,2.25237,2.25449,2.24742,2.25323,18537,79,0
32,1752220800,2.25327,2.25495,2.24708,2.25117,20231,79,0
33,1752235200,2.25117,2.25284,2.2435,2.24537,19601,79,0
34,1752249600,2.24533,2.24972,2.2439999999999998,2.248,22536,79,0
35,1752264000,2.248,2.24895,2.24115,2.24219,13327,79,0
36,1752451200,2.24647,2.24837,2.2403399999999998,2.24659,11528,79,0
37,1752465600,2.24658,2.25421,2.24612,2.25266,17928,79,0
38,1752480000,2.25266,2.25316,2.24745,2.2498,19336,79,0
39,1752494400,2.24978,2.25204,2.24867,2.2518000000000002,15486,80,0
